Datased name: Pilot top-down CO2 Budget constrained by the v10 OCO-2 MIP Version 1.0
Data description paper title: National CO2 Budgets (2015-2020) inferred from atmospheric CO2 observations in support of the Global Stocktake
Byrne et al. 2022
contact: Brendan Byrne - email: brendan.k.byrne@jpl.nasa.gov
Created 25 May 2022
Version 1.0
-- Description ---
This is a pilot CO2 Budget for countries over 2015-2020. Estimates of carbon fluxes are obtained by combining top-down constraints on net carbon exchange from atmospheric CO2 and bottom-up process specific fluxes of carbon (fossil fuel emissions and lateral fluxes associated with crop trade and wood trade and river export) with specific data sources listed below.
-- Data sources ---
Net Carbon Exchange (NCE): version 10 of the Orbiting Carbon Observatory Model Intercomparison Project (OCO-2 MIP) [https://gml.noaa.gov/ccgg/OCO2_v10mip/]
Fossil Fuel and cement production emissions (FF):  Open-source Data Inventory for Anthropogenic CO2 (ODIAC) emission data product [Oda et al. 2018; https://doi.org/10.5194/essd-10-87-2018] with day-of-week and diurnal variations from Nassar et al. [2013; https://doi.org/10.1029/2012JD018196]
Crop and Wood lateral fluxes (F wood trade + F crop trade): Following the approaches of Deng et al. [2022; https://doi.org/10.5194/essd-14-1639-2022] and Ciais et al. [2020; https://doi.org/10.1093/nsr/nwaa145] which utilizes crop and wood trade data compiled by Food and Agriculture Organization of the United Nations [FAO; http://www.fao.org/faostat/en/#data]
River lateral fluxes (F rivers export): Combine modeled estiated from Dynamic Land Ecosystem Model (DLEM) [https://chess.auburn.edu/models/] and Deng et al. [2022; https://doi.org/10.5194/essd-14-1639-2022]
-- Variables ---
Alpha 3 Code - three-letter country codes defined in International Organization for Standardization (ISO) 3166-1 -OR- Name of supranational Region
Year - Gregorian calendar year / mean indicates 2015-2020 mean value
IS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP IS ensemble; Positive flux = decrease in land carbon
IS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP IS ensemble
LNLG dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLG ensemble; Positive flux = decrease in land carbon
LNLG dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGIS ensemble; Positive flux = decrease in land carbon
LNLGIS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS dC_loss - net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGOGIS ensemble; Positive flux = decrease in land carbon
LNLGOGIS dC_loss unc - Uncertainty in the net land carbon stock loss estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
IS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP IS ensemble
IS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP IS ensemble
LNLG NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLG NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGIS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS NBE - net biosphere exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
LNLGOGIS NBE unc - Uncertainty in the net biosphere exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
IS NCE - net carbon exchange estimated from the OCO-2 v10 MIP IS ensemble
IS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP IS ensemble
LNLG NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLG NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLG ensemble
LNLGIS NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGIS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLGIS ensemble
LNLGOGIS NCE - net carbon exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
LNLGOGIS NCE unc - Uncertainty in the net carbon exchange estimated from the OCO-2 v10 MIP LNLGOGIS ensemble
River - F rivers export -  Lateral flux of carbon by rivers
River unc - F rivers export unc -  Uncertainty in lateral flux of carbon by rivers
Wood+Crop - F wood trade + F crop trade -  Lateral flux of carbon in wood and crops
Wood+Crop unc - F wood trade unc + F crop trade unc - Uncertainty in lateral flux of carbon in wood and crops
FF - Fossil Fuel and cement production emissions; Positive flux from land to atmosphere
FF unc - Uncertainty in Fossil Fuel and cement production emissions
Z-statistic - statistical difference between LNLG and IS NCE defined as (median(NCE_LNLG)-median(NCE_IS))/std(NCE_LNLG-NCE_IS)
Fractional Uncertainty Reduction (FUR) for the IS experiment defined as 1 - Posterior_NCE_std_IS/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLG experiment defined as 1 - Posterior_NCE_std_LNLG/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLGIS experiment defined as 1 - Posterior_NCE_std_LNLGIS/Prior_NCE_std
Fractional Uncertainty Reduction (FUR) for the LNLGOGIS experiment defined as 1 - Posterior_NCE_std_LNLGOGIS/Prior_NCE_std
----------------
Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
AGO,2019,2.56044e+02,1.61576e+02,-4.36428e+01,2.94548e+02,-3.68403e+01,3.02787e+02,1.38826e+02,3.48949e+02,2.38221e+02,1.61576e+02,-6.14659e+01,2.94548e+02,-5.46634e+01,3.02787e+02,1.21003e+02,3.48949e+02,2.54774e+02,1.61539e+02,-4.49125e+01,2.94528e+02,-3.81100e+01,3.02767e+02,1.37557e+02,3.48932e+02,-2.31523e+01,6.42412e+00,5.32926e+00,1.59878e+00,1.65534e+01,3.43854e+00,-1.31,0.18,0.69,0.72,0.71
AGO,2020,9.84686e+01,1.37005e+02,-3.29843e+02,1.74964e+02,-3.90581e+02,2.32291e+02,-1.32201e+02,1.09911e+02,8.20260e+01,1.37005e+02,-3.46286e+02,1.74964e+02,-4.07023e+02,2.32291e+02,-1.48644e+02,1.09911e+02,9.73307e+01,1.36962e+02,-3.30981e+02,1.74930e+02,-3.91719e+02,2.32266e+02,-1.33339e+02,1.09857e+02,-2.17719e+01,9.18490e+00,5.32926e+00,1.59878e+00,1.53048e+01,3.43854e+00,-1.72,0.18,0.69,0.72,0.71
AGO,mean,1.55080e+02,1.48470e+02,-2.89308e+02,2.28876e+02,-2.70371e+02,1.90959e+02,-1.34552e+02,2.00199e+02,1.38637e+02,1.48177e+02,-3.05751e+02,2.28686e+02,-2.86814e+02,1.90732e+02,-1.50994e+02,1.99982e+02,1.54205e+02,1.48134e+02,-2.90183e+02,2.28658e+02,-2.71246e+02,1.90698e+02,-1.35426e+02,1.99950e+02,-2.17719e+01,9.18490e+00,5.32926e+00,1.59878e+00,1.55677e+01,3.55711e+00,-2.51,0.18,0.69,0.72,0.71
ALB,2015,-2.46186e+00,7.61818e+00,-7.97734e+00,8.88803e+00,-1.16444e+01,6.64200e+00,-7.69660e+00,6.88249e+00,-3.57087e+00,7.61818e+00,-9.08635e+00,8.88803e+00,-1.27534e+01,6.64200e+00,-8.80560e+00,6.88249e+00,1.10653e-01,7.61078e+00,-5.40483e+00,8.88169e+00,-9.07187e+00,6.63352e+00,-5.12408e+00,6.87430e+00,-2.22772e+00,1.36653e+00,1.11871e+00,3.35614e-01,3.68152e+00,3.35639e-01,-0.58,0.04,0.1,0.05,0.12
ALB,2016,-3.59018e+00,5.51036e+00,-9.95989e+00,8.00242e+00,-7.94527e+00,1.21443e+01,-6.01304e+00,5.54704e+00,-4.49624e+00,5.51036e+00,-1.08660e+01,8.00242e+00,-8.85134e+00,1.21443e+01,-6.91911e+00,5.54704e+00,-6.52556e-01,5.50030e+00,-7.02227e+00,7.99549e+00,-5.00765e+00,1.21397e+01,-3.07542e+00,5.53704e+00,-2.02478e+00,1.77241e+00,1.11871e+00,3.35614e-01,3.84369e+00,3.32926e-01,-1.05,0.04,0.1,0.05,0.12
ALB,2017,-1.10061e+00,7.45167e+00,-9.03908e+00,3.93254e+00,-6.68925e+00,1.00070e+01,-4.15836e+00,6.69426e+00,-1.99429e+00,7.45167e+00,-9.93276e+00,3.93254e+00,-7.58293e+00,1.00070e+01,-5.05204e+00,6.69426e+00,1.93718e+00,7.44091e+00,-6.00129e+00,3.91212e+00,-3.65146e+00,9.99903e+00,-1.12056e+00,6.68229e+00,-2.01239e+00,1.79718e+00,1.11871e+00,3.35614e-01,3.93147e+00,4.00217e-01,-0.63,0.04,0.1,0.05,0.12
ALB,2018,-8.26333e+00,6.20027e+00,-5.20331e+00,9.70583e+00,-8.49532e+00,8.00382e+00,-2.87851e+00,4.89171e+00,-8.99772e+00,6.20027e+00,-5.93770e+00,9.70583e+00,-9.22971e+00,8.00382e+00,-3.61291e+00,4.89171e+00,-4.90251e+00,6.18734e+00,-1.84249e+00,9.69758e+00,-5.13450e+00,7.99381e+00,4.82300e-01,4.87531e+00,-1.85311e+00,2.11575e+00,1.11871e+00,3.35614e-01,4.09521e+00,4.00217e-01,0.37,0.04,0.1,0.05,0.12
ALB,2019,-2.02351e+00,5.15620e+00,-3.47190e+00,9.10326e+00,-6.71667e+00,1.09141e+01,-6.79368e+00,4.74763e+00,-2.95613e+00,5.15620e+00,-4.40452e+00,9.10326e+00,-7.64928e+00,1.09141e+01,-7.72630e+00,4.74763e+00,1.40777e+00,5.14527e+00,-4.06168e-02,9.09707e+00,-3.28538e+00,1.09090e+01,-3.36240e+00,4.73575e+00,-2.05133e+00,1.71931e+00,1.11871e+00,3.35614e-01,4.36390e+00,3.35639e-01,-0.22,0.04,0.1,0.05,0.12
ALB,2020,-1.27082e+00,8.05646e+00,-1.59378e+01,6.13899e+00,-9.84273e+00,9.98725e+00,-5.02293e+00,7.87883e+00,-2.18597e+00,8.05646e+00,-1.68530e+01,6.13899e+00,-1.07579e+01,9.98725e+00,-5.93808e+00,7.87883e+00,1.72523e+00,8.04947e+00,-1.29418e+01,6.12980e+00,-6.84668e+00,9.98161e+00,-2.02688e+00,7.87167e+00,-2.03387e+00,1.75424e+00,1.11871e+00,3.35614e-01,3.91120e+00,3.35639e-01,-1.87,0.04,0.1,0.05,0.12
ALB,mean,-2.51789e+00,5.49232e+00,-9.10880e+00,6.47683e+00,-9.66311e+00,5.81607e+00,-5.68058e+00,4.61280e+00,-3.43304e+00,5.19380e+00,-1.00240e+01,6.22570e+00,-1.05783e+01,5.53504e+00,-6.59574e+00,4.25300e+00,5.38121e-01,5.18154e+00,-6.05279e+00,6.21547e+00,-6.60709e+00,5.52353e+00,-2.62457e+00,4.23801e+00,-2.03387e+00,1.75424e+00,1.11871e+00,3.35614e-01,3.97116e+00,3.56713e-01,-1.03,0.04,0.1,0.05,0.12
ARE,2015,-1.12954e+01,1.13260e+01,-1.13830e+01,1.12965e+01,-1.13546e+01,1.13096e+01,-1.15529e+01,1.13044e+01,4.80090e-01,1.13260e+01,3.92422e-01,1.12965e+01,4.20864e-01,1.13096e+01,2.22525e-01,1.13044e+01,2.48225e+02,9.34979e-01,2.48137e+02,4.55294e-01,2.48166e+02,7.09842e-01,2.47967e+02,6.20807e-01,-4.60533e-02,1.83510e-02,1.18215e+01,3.54645e+00,2.47745e+02,1.12873e+01,-0.17,0.01,-0.06,0.02,-0.02
ARE,2016,-1.16767e+01,1.08138e+01,-1.17785e+01,1.09615e+01,-1.17612e+01,1.08212e+01,-1.17582e+01,1.08183e+01,9.14779e-02,1.08138e+01,-1.03695e-02,1.09615e+01,6.98584e-03,1.08212e+01,9.95774e-03,1.08183e+01,2.38763e+02,5.53968e-01,2.38662e+02,1.87667e+00,2.38679e+02,6.82908e-01,2.38682e+02,6.35042e-01,-5.33312e-02,3.79531e-03,1.18215e+01,3.54645e+00,2.38672e+02,1.07996e+01,-0.33,0.01,-0.06,0.02,-0.02
ARE,2017,-1.16431e+01,8.84961e+00,-1.09376e+01,8.94349e+00,-1.09334e+01,8.94310e+00,-1.17439e+01,8.86651e+00,1.06625e-01,8.84961e+00,8.12174e-01,8.94349e+00,8.16328e-01,8.94310e+00,5.83688e-03,8.86651e+00,1.96628e+02,3.52299e-01,1.97333e+02,1.33958e+00,1.97337e+02,1.33698e+00,1.96527e+02,6.50788e-01,-7.17651e-02,3.30726e-02,1.18215e+01,3.54645e+00,1.96521e+02,8.84260e+00,0.85,0.01,-0.06,0.02,-0.02
ARE,2018,-1.16190e+01,9.03970e+00,-1.13054e+01,9.45523e+00,-1.14255e+01,9.17425e+00,-1.15633e+01,9.17935e+00,1.43386e-01,9.03970e+00,4.56979e-01,9.45523e+00,3.36828e-01,9.17425e+00,1.99083e-01,9.17935e+00,1.98827e+02,1.87742e+00,1.99141e+02,3.34812e+00,1.99020e+02,2.44445e+00,1.98883e+02,2.46351e+00,-5.91485e-02,7.83927e-03,1.18215e+01,3.54645e+00,1.98684e+02,8.84260e+00,0.55,0.01,-0.06,0.02,-0.02
ARE,2019,-1.16934e+01,1.13314e+01,-1.15334e+01,1.13645e+01,-1.17367e+01,1.18969e+01,-1.17393e+01,1.14781e+01,5.34350e-02,1.13314e+01,2.13448e-01,1.13645e+01,1.00925e-02,1.18969e+01,7.55867e-03,1.14781e+01,2.00902e+02,9.98755e-01,2.01062e+02,1.32190e+00,2.00858e+02,3.75927e+00,2.00856e+02,2.08432e+00,-7.46741e-02,3.88905e-02,1.18215e+01,3.54645e+00,2.00848e+02,1.12873e+01,0.61,0.01,-0.06,0.02,-0.02
ARE,2020,-1.16647e+01,1.12970e+01,-1.09251e+01,1.13967e+01,-1.13612e+01,1.13595e+01,-1.17006e+01,1.13394e+01,9.58421e-02,1.12970e+01,8.35418e-01,1.13967e+01,3.99317e-01,1.13595e+01,5.99468e-02,1.13394e+01,1.87270e+02,4.67793e-01,1.88009e+02,1.57556e+00,1.87573e+02,1.27871e+00,1.87234e+02,1.08561e+00,-6.09944e-02,2.03897e-02,1.18215e+01,3.54645e+00,1.87174e+02,1.12873e+01,0.55,0.01,-0.06,0.02,-0.02
